time_sec,px,py,pz,qx,qy,qz,qw,vx,vy,vz,wx,wy,wz
1690979965.6277628,-0.04132872074842453,-0.5590936541557312,21.959047317504883,0.0046829341347426915,-0.776895173997027,-0.010254736276191223,0.6295290296181143,-0.8944720029830933,-0.9178376197814941,21.3475399017334,0.00845890212804079,-1.8585991859436035,-0.04330100119113922
1690979965.7288866,-0.05188453570008278,-0.5586382746696472,21.95516586303711,0.005237090377440365,-0.7774124995017093,-0.009771786243498512,0.6288933857948378,-0.8820562958717346,-0.9178871512413025,21.359426498413086,0.00844784826040268,-1.8602689504623413,-0.043200891464948654
1690979965.8308184,-0.07446008175611496,-0.5654169917106628,21.944355010986328,0.003867074304862768,-0.7760097975557847,-0.010738112818339203,0.6306175804454321,-0.8943924307823181,-0.9180766940116882,21.3601016998291,0.008537350222468376,-1.856657862663269,-0.043033525347709656
1690979965.929688,-0.10984944552183151,-0.5453845858573914,21.943561553955078,0.006592299936300205,-0.7742159417729951,-0.009446157514399747,0.6328167090037343,-0.9394192099571228,-0.9186198115348816,21.360021591186523,0.00893835537135601,-1.8528891801834106,-0.04302028939127922
1690979966.0305543,-0.15640243887901306,-0.5429175496101379,21.932546615600586,0.007880121430403324,-0.7732124745315883,-0.009006323803737587,0.6340341150494366,-0.9849529266357422,-0.9194337129592896,21.365081787109375,0.009437419474124908,-1.8488044738769531,-0.04307848960161209
1690979966.1313963,-0.17371292412281036,-0.5595711469650269,21.921419143676758,0.00998144785872184,-0.7731403777233745,-0.006427120145398298,0.6341238200533378,-1.0101066827774048,-0.9195404052734375,21.362537384033203,0.010028216056525707,-1.8470278978347778,-0.04305006563663483
1690979966.2323813,-0.18884865939617157,-0.5483951568603516,21.92599105834961,0.01052902249262376,-0.7720983178374368,-0.00764743661569512,0.6353698481917122,-1.0123881101608276,-0.9194416403770447,21.369945526123047,0.010724199004471302,-1.8425883054733276,-0.043249066919088364
1690979966.333121,-0.19072134792804718,-0.5492736101150513,21.922325134277344,0.008533697964012715,-0.7706636442754711,-0.00828438279508811,0.6371311422249063,-1.0142186880111694,-0.9194574952125549,21.378087997436523,0.01124566700309515,-1.8381528854370117,-0.04331435263156891
1690979966.4339676,-0.16701392829418182,-0.5587186813354492,21.92379379272461,0.006935296530034571,-0.7686450913545329,-0.009469087541250296,0.639567792794289,-1.0026684999465942,-0.9191118478775024,21.3739013671875,0.011538890190422535,-1.8324135541915894,-0.043460723012685776
1690979966.534831,-0.15470941364765167,-0.5503190755844116,21.918081283569336,0.007645213852545324,-0.7652009832787872,-0.010794453268013985,0.6436555644698263,-0.9913671016693115,-0.91856449842453,21.37049102783203,0.011773896403610706,-1.826537013053894,-0.04368063434958458
1690979966.6357596,-0.14473505318164825,-0.5482411980628967,21.900897979736328,0.007011065734903333,-0.7599839589500076,-0.00993760952000102,0.6498280318768667,-0.9794528484344482,-0.9173780679702759,21.35124397277832,0.01236674189567566,-1.8131370544433594,-0.04368474334478378
1690979966.7365556,-0.144321471452713,-0.5524091124534607,21.89615821838379,0.006813595671896304,-0.7526023481972132,-0.01015713476805436,0.6583616885993323,-0.9842567443847656,-0.9172678589820862,21.348770141601562,0.013111635111272335,-1.7962918281555176,-0.043698105961084366
1690979966.8374095,-0.14896106719970703,-0.5537977814674377,21.873512268066406,0.006632005704969403,-0.7426824936683071,-0.010447663731145355,0.669529369349482,-1.0022876262664795,-0.9168415665626526,21.33187484741211,0.014300395734608173,-1.7694151401519775,-0.0436088964343071
1690979966.9382768,-0.13811412453651428,-0.5553195476531982,21.861587524414062,0.006661743513480178,-0.7327708588078802,-0.010299453327356673,0.6803649101155055,-0.9860512614250183,-0.9161763787269592,21.325851440429688,0.01549874059855938,-1.7416404485702515,-0.04341234266757965
1690979967.0391526,-0.13435958325862885,-0.5453146696090698,21.849266052246094,0.0075665999973908256,-0.7224847685491101,-0.009824272851229847,0.691275624799517,-0.9799398183822632,-0.9154951572418213,21.318050384521484,0.0167866013944149,-1.7138491868972778,-0.043216537684202194
1690979967.1399877,-0.141248881816864,-0.550775408744812,21.823488235473633,0.007566139086231733,-0.7109881147078796,-0.009884363016007324,0.7030938441283857,-0.9771478176116943,-0.9143163561820984,21.295242309570312,0.018315518274903297,-1.6816725730895996,-0.042889878153800964
1690979967.2408504,-0.14100733399391174,-0.550437331199646,21.818328857421875,0.008171050348736683,-0.7008271749987792,-0.009791822035686655,0.7132170952386448,-0.9705340266227722,-0.9141320586204529,21.300233840942383,0.01974409446120262,-1.6506708860397339,-0.04254802688956261
1690979967.341805,-0.14660599827766418,-0.5516974329948425,21.803817749023438,0.007650395790016637,-0.690374734416642,-0.010001555817816418,0.7233423576734811,-0.9683387875556946,-0.9135329723358154,21.29131317138672,0.021137060597538948,-1.6205003261566162,-0.04209962487220764
1690979967.4447122,-0.1483401358127594,-0.5470840930938721,21.789203643798828,0.008032459667430639,-0.6791601157632599,-0.009080335292183736,0.7338900219100326,-0.9570032954216003,-0.9124437570571899,21.27806854248047,0.02255532704293728,-1.5913076400756836,-0.04161350429058075
1690979967.5434346,-0.15205243229866028,-0.5518936514854431,21.774452209472656,0.007983042817518524,-0.6672513388579475,-0.00844594436898689,0.7447419605765249,-0.9671183824539185,-0.9112609028816223,21.249582290649414,0.02403748407959938,-1.560136318206787,-0.04094725474715233
1690979967.6443868,-0.1500871330499649,-0.5499027371406555,21.762807846069336,0.00928876656706848,-0.6560981014159858,-0.008180199708332678,0.7545741080018138,-0.9679201245307922,-0.911122739315033,21.25156593322754,0.025584189221262932,-1.5281124114990234,-0.04029655084013939
1690979967.7451553,-0.16183224320411682,-0.5539858937263489,21.741527557373047,0.009803131449340308,-0.6450482468183857,-0.008739737220611716,0.7640289751597309,-0.987238883972168,-0.9108718633651733,21.24117660522461,0.02716071903705597,-1.4941247701644897,-0.039481960237026215
1690979967.846712,-0.16221235692501068,-0.5479258298873901,21.72797203063965,0.010964165055388837,-0.6328645171659202,-0.00765607478596948,0.7741470625894389,-0.9942256808280945,-0.9100144505500793,21.2247371673584,0.028807342052459717,-1.4601528644561768,-0.03863072767853737
1690979967.9469976,-0.15977497398853302,-0.5536807775497437,21.716060638427734,0.010855138493934505,-0.6200872290642391,-0.00747449252379973,0.7844221607535211,-0.9941643476486206,-0.9092077612876892,21.211824417114258,0.030372709035873413,-1.427459716796875,-0.037741877138614655
1690979968.0477395,-0.15588361024856567,-0.5458717346191406,21.70590591430664,0.011792464920920558,-0.607173130229241,-0.007028313943549505,0.7944509616721632,-0.9815182089805603,-0.9085050821304321,21.2100772857666,0.03189287334680557,-1.3945635557174683,-0.03692012280225754
1690979968.1485963,-0.19221027195453644,-0.5501264929771423,21.695722579956055,0.009983510388746094,-0.5961623449480402,-0.008153596747016972,0.802760429297844,-1.012755274772644,-0.9087209105491638,21.1992244720459,0.032988540828228,-1.367342233657837,-0.03620048984885216
1690979968.2494473,-0.16998374462127686,-0.5408215522766113,21.70660400390625,0.009449088839198249,-0.5899638554514809,-0.009676649802428022,0.807316373195499,-1.006937861442566,-0.9085916876792908,21.204450607299805,0.03376377746462822,-1.3443195819854736,-0.03576362878084183
